P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
159856,157335,151324,102801,138683,136527,143884,148295,150621,142873,157049,65267,145735,166182
159789,158076,151329,101040,138585,136478,143893,148942,150661,142837,157034,66755,145753,165838
159705,158796,151354,99272,138554,136380,143888,149330,150705,142767,157034,68208,145750,165448
159653,159422,151371,97574,138462,136247,143873,149778,150716,142778,157004,69688,145732,165054
159605,160009,151374,95824,138424,136115,143852,150155,150700,142736,157045,71152,145695,164594
159583,160509,151374,94089,138410,135910,143808,150466,150703,142617,157032,72630,145668,164139
159571,160907,151369,92382,138389,135848,143814,150923,150689,142631,157039,74084,145655,163577
159531,161307,151375,90691,138395,135561,143822,151049,150701,142560,157056,75505,145654,162909
159478,161741,151383,88963,138393,135212,143831,150981,150722,142430,157071,76942,145651,162216
159474,162189,151398,87264,138415,134863,143841,150995,150744,142286,157080,78365,145648,161405
159474,162593,151437,85619,138468,134339,143867,150978,150789,142151,157092,79791,145626,160519
159478,162896,151476,83964,138467,133901,143881,150887,150835,142008,157161,81220,145630,159654
159497,163218,151517,82340,138500,133351,143906,150772,150869,141837,157192,82623,145635,158750
159520,163422,151561,80732,138539,132611,143915,150617,150880,141723,157247,83984,145629,157874
159495,163530,151583,79100,138582,132003,143898,150362,150870,141575,157298,85320,145635,156770
159471,163569,151601,77492,138650,131261,143874,150120,150828,141350,157359,86594,145623,155654
159471,163676,151620,75914,138693,130562,143829,149779,150781,141147,157455,87860,145618,154347
159491,163659,151632,74364,138729,129591,143776,149444,150760,141101,157498,89081,145614,152995
159496,163576,151641,72787,138783,128690,143724,149000,150718,140915,157571,90259,145603,151565
159446,163493,151649,71322,138835,127744,143650,148502,150690,140805,157599,91454,145591,150081
159445,163416,151629,69803,138935,126800,143594,147963,150663,140701,157656,92716,145564,148528
159431,163275,151666,68300,139013,125723,143560,147503,150713,140656,157696,93827,145545,146945
159428,163118,151657,66782,139112,124592,143531,147017,150780,140602,157762,95007,145518,145233
159435,162988,151663,65250,139229,123349,143489,146381,150920,140567,157796,96322,145481,143452
159445,162874,151665,63800,139310,122012,143461,145957,151011,140393,157807,97484,145465,141548
159455,162812,151645,62304,139436,120659,143419,145379,151174,140218,157838,98685,145436,139527
159465,162788,151635,60814,139531,119154,143428,144772,151341,140053,157878,99911,145450,137471
159469,162808,151616,59467,139648,117608,143424,144046,151488,139854,157909,101361,145394,135312
159486,162798,151610,58349,139785,116005,143429,143260,151637,139455,157951,102553,145341,133244
159521,162734,151607,57082,139902,114299,143442,142422,151744,139346,157999,103690,145273,130993
159542,162664,151617,55820,140135,112595,143449,141596,151789,139007,158034,104823,145208,128697
159574,162570,151633,54608,140110,110871,143454,140706,151796,138933,158064,105821,145135,126370
159607,162479,151660,53457,140180,109108,143454,139799,151771,138480,158103,106752,145125,124069
159634,162362,151681,52335,140244,107307,143441,138875,151755,138340,158121,107769,145087,121688
159686,162185,151683,51208,140324,105535,143436,137918,151750,137828,158135,108824,145066,119391
159726,161935,151699,50328,140359,103699,143424,136932,151761,137444,158147,109871,145071,116973
159779,161645,151685,49352,140382,101862,143423,135966,151735,137035,158221,110932,145094,114617
159817,161321,151678,48500,140407,100012,143426,134935,151741,136526,158214,111918,145114,112218
159860,161052,151660,47717,140447,98170,143423,133906,151750,135934,158205,112875,145138,109837
159889,160724,151637,46779,140508,96347,143438,132854,151815,135235,158191,113848,145190,107455
159906,160355,151615,46050,140546,94569,143462,131817,151849,134496,158174,114789,145235,105024
159920,159815,151581,45355,140589,92806,143465,130695,151872,133762,158159,115696,145274,102642
159915,159326,151555,44701,140643,91030,143471,129500,151890,132989,158152,116559,145308,100286
159895,158813,151538,44170,140695,89289,143478,128377,151839,132202,158135,117419,145362,97913
159881,158254,151557,43585,140746,87562,143473,127210,151852,131290,158105,118434,145402,95528
159899,157674,151657,43138,140812,85834,143436,126077,151780,130394,158062,119315,145444,93122
159896,157042,151695,42714,140872,84140,143421,124896,151764,129346,158039,120191,145475,90782
159904,156369,151719,42432,140943,82493,143401,123684,151795,128173,158015,121049,145514,88554
159899,155695,151737,42512,141010,80865,143399,122520,151807,126867,158010,121954,145548,86273
159912,155078,151667,42421,141071,79232,143411,121296,151846,125503,158001,122901,145560,84048
159925,154419,151663,42289,141124,77566,143431,120065,151862,124098,157984,123690,145532,81815
159919,153682,151653,41831,141154,75951,143470,118813,151846,122653,157956,124496,145508,79644
159942,152912,151640,41766,141163,74355,143496,117522,151799,121176,157924,125343,145485,77450
159943,152076,151646,41813,141162,72701,143500,116203,151708,119644,157889,126180,145483,75386
159956,151198,151636,41728,141127,71108,143510,114878,151619,117950,157857,127022,145493,73421
159994,150272,151644,41847,141088,69639,143507,113514,151548,116266,157825,127940,145512,71373
159988,149361,151646,42037,141046,68085,143485,112100,151490,114464,157795,128712,145548,69344
160000,148206,151637,42242,141003,66590,143487,110663,151458,112618,157748,129475,145580,67273
159977,147157,151643,42503,140957,65051,143412,109226,151444,110735,157630,130213,145611,65270
159942,146154,151626,42755,140925,63537,143406,107716,151472,108864,157603,130861,145628,63341
159894,144933,151621,43070,140847,61951,143385,106149,151502,106692,157542,131459,145627,61399
159855,143696,151627,43408,140806,60438,143394,104566,151531,104770,157470,132027,145620,59459
159813,142407,151618,43801,140756,58954,143397,103048,151554,102919,157389,132672,145595,57522
159781,140998,151593,44218,140714,57504,143399,101523,151597,101669,157309,133159,145556,55667
159741,139570,151586,44639,140690,56113,143407,99976,151647,98643,157202,133544,145504,53766
159724,138074,151556,45139,140656,54581,143426,98425,151673,97105,157091,133888,145451,51899
159700,136485,151553,45663,140628,53160,143524,96971,151705,94517,157005,134297,145395,50110
159670,134904,151542,46292,140605,51719,143533,95473,151738,92417,156912,134452,145346,48305
159661,133289,151527,47027,140593,50378,143534,93936,151791,90074,156819,134562,145303,46522
159669,131634,151529,47716,140587,48859,143539,92372,151819,87679,156742,134628,145280,44794
159660,129978,151523,48375,140604,47517,143528,90827,151823,85125,156653,134565,145259,43112
159656,128290,151527,49277,140632,46025,143525,89245,151796,82681,156570,134536,145222,41410
159673,126567,151531,49972,140652,44637,143468,87694,151720,80402,156516,134455,145189,40038
159678,124866,151509,50901,140653,43254,143480,86121,151673,78046,156474,134222,145158,38490
159698,123097,151492,51975,140665,41952,143474,84574,151636,75670,156460,134122,145110,37009
159726,121316,151476,52906,140664,40630,143462,83035,151566,73369,156479,133957,145097,35449
159740,119513,151466,54236,140678,39512,143510,81511,151527,71173,156520,133791,145121,34047
159768,117690,151452,55355,140682,38295,143500,80036,151542,68974,156563,133605,145102,32632
159776,115855,151456,56648,140660,37216,143505,78549,151558,67040,156613,133456,145102,30999
159803,113937,151465,57963,140616,36053,143507,77083,151640,64933,156680,133329,145107,29549
159813,112047,151508,59294,140580,35026,143499,75627,151695,62854,156748,133184,145082,28378
159835,110175,151541,60646,140566,34057,143493,74277,151716,60859,156831,133061,145083,27334
159845,108311,151547,61981,140536,33159,143487,72814,151756,58888,156949,133018,145084,26507
159857,106535,151539,63421,140512,32358,143470,71436,151765,57011,157046,132851,145076,25838
159852,104733,151536,64897,140473,31635,143461,70100,151729,55206,157151,132695,145106,25352
159841,102964,151552,66432,140447,31029,143452,68756,151688,53431,157245,132520,145117,25179
159831,101296,151544,67925,140445,30541,143443,67441,151611,51710,157331,132218,145136,25086
159808,99640,151532,69466,140445,30269,143453,66110,151555,50079,157417,131923,145177,25197
159804,97983,151512,71031,140470,30002,143447,64665,151493,48490,157463,131590,145244,25291
159810,96326,151508,72521,140528,29854,143451,63283,151466,46949,157495,131107,145316,25592
159811,94887,151505,74052,140592,29842,143447,61944,151470,45511,157516,130756,145381,26094
159832,93247,151491,75434,140657,29922,143438,60644,151484,44072,157541,130448,145438,26767
159825,91535,151509,76951,140732,30111,143412,59331,151464,42707,157548,130087,145473,27533
159835,89796,151517,78474,140811,30382,143387,58076,151469,41419,157516,129700,145433,28479
159826,88210,151522,79974,140893,30734,143383,56815,151477,40282,157575,129261,145360,29496
159805,86571,151531,81462,140987,31201,143397,55630,151506,39152,157577,128737,145256,30664
159802,84995,151515,82897,141022,31628,143383,54381,151511,38165,157562,128305,145125,31903
159754,83486,151516,84307,141113,32247,143433,53093,151511,37300,157550,127723,144994,33206
159696,82064,151500,85689,141223,32925,143448,51814,151504,36541,157576,127151,144832,34343
159655,80612,151485,87096,141304,33713,143413,50566,151494,35782,157606,126345,144682,35506
159618,79112,151459,88479,141383,34560,143441,49266,151496,35144,157603,125779,144541,36668
159584,77646,151447,89875,141446,35528,143451,48135,151490,34607,157596,125019,144413,37768
159512,76274,151420,91224,141483,36485,143459,46986,151485,34181,157613,124294,144302,38938
159474,74803,151392,92527,141494,37479,143469,45817,151470,33868,157624,123618,144239,40177
159456,73363,151385,93810,141477,38564,143484,44552,151464,33688,157610,122837,144159,41098
159438,71925,151378,95074,141469,39654,143472,43424,151455,33623,157613,121951,144084,42269
159414,70490,151368,96250,141428,40848,143511,42275,151447,33653,157638,121009,144026,43390
159419,69082,151369,97432,141402,42097,143512,41120,151433,33825,157667,120081,143997,44586
159404,67612,151359,98549,141315,43378,143538,40012,151432,34085,157700,119069,143993,45798
159418,66244,151346,99694,141226,44690,143578,39043,151438,34487,157747,118013,143991,47036
159440,64823,151341,100813,141135,46006,143638,38025,151461,34940,157808,117009,144002,48226
159419,63472,151348,101951,141040,47379,143666,37084,151487,35528,157822,115978,144031,49490
159400,62103,151327,103076,140988,48749,143714,36126,151540,36233,157853,114882,144028,50710
159435,60762,151318,104185,140890,50113,143777,35178,151580,36937,157885,113833,144031,51948
159457,59483,151299,105347,140785,51451,143863,34289,151606,37749,157921,112607,144054,53128
159458,58193,151302,106477,140674,52878,143938,33468,151626,38681,157921,111192,144088,54294
159458,56952,151313,107579,140541,54208,143979,32713,151632,39732,157904,109814,144129,55457
159433,55797,151314,108725,140448,55527,144015,32084,151617,40890,157895,108337,144178,56629
159447,54625,151314,109869,140339,56854,144038,31350,151600,42139,157885,106794,144230,57797
159429,53535,151323,111012,140235,58150,144081,30661,151588,43519,157873,105262,144291,58952
159423,52510,151329,112100,140116,59505,144105,30157,151555,44998,157831,103635,144345,60086
159414,51530,151335,113184,140017,60818,144131,29728,151517,46580,157818,102001,144418,61188
159377,50621,151336,114258,139890,62112,144127,29346,151486,48278,157809,100463,144488,62276
159361,49771,151322,115244,139789,63391,144120,28952,151470,50077,157805,98918,144528,63368
159332,49018,151306,116294,139691,64609,144112,28056,151471,51996,157796,97300,144545,64442
159326,48325,151284,117321,139584,65863,144106,27689,151475,54065,157814,95633,144571,65489
159328,47714,151261,118309,139483,67189,144095,27442,151500,56169,157816,93967,144612,66500
159329,47157,151237,119236,139377,68493,144085,27263,151543,58385,157872,92151,144601,67519
159342,46726,151224,120125,139292,69888,144077,27128,151626,60699,157872,90382,144569,68511
159368,46303,151201,120996,139253,71170,144086,27014,151698,63155,157882,88628,144563,69503
159388,46030,151192,121879,139231,72591,144095,26959,151780,65687,157906,86855,144582,70507
159420,45780,151177,122756,139219,73917,144125,26982,151848,68347,157930,85104,144594,71513
159447,45642,151207,123610,139224,75282,144138,26971,151912,71041,157964,83326,144625,72588
159462,45585,151233,124440,139242,76639,144155,26967,151910,73784,158010,81536,144675,73516
159493,45632,151266,125310,139299,78011,144178,27095,151869,76651,158042,79781,144753,74510
159519,45795,151275,126228,139373,79364,144189,27229,151860,79549,158071,78025,144819,75475
159524,46040,151284,127183,139469,80729,144187,27359,151828,82371,158104,76266,144915,76452
159559,46389,151292,128145,139584,82099,144179,27610,151798,85227,158125,74469,145027,77434
159602,46865,151311,129125,139708,83427,144167,27825,151720,87825,158159,72641,145112,78416
159623,47424,151326,130146,139836,84788,144157,28071,151654,90363,158193,70856,145180,79400
159646,48081,151328,131143,139940,86098,144148,28345,151667,92901,158218,69110,145245,80379
159673,48859,151330,132141,140064,87438,144130,28602,151633,95433,158230,67346,145281,81388
159694,49709,151350,133126,140170,88719,144127,28894,151608,97510,158277,65603,145346,82394
159704,50565,151343,134214,140295,90043,144127,29196,151580,99673,158299,63890,145383,83348
159724,51571,151348,135304,140384,91364,144135,29474,151563,102187,158316,62202,145414,84319
159712,52563,151352,136450,140497,92688,144147,29712,151548,104502,158332,60600,145442,85264
159668,53673,151334,137548,140615,93973,144150,29993,151509,106392,158336,59007,145461,86220
159641,54797,151318,138631,140705,95257,144150,30482,151470,108199,158331,57455,145477,87162
159644,55954,151317,139724,140776,96542,144147,30906,151480,109860,158334,55872,145441,88139
159629,57183,151308,140813,140877,97765,144141,31410,151464,111428,158335,54404,145391,89094
159547,58429,151312,141899,140938,98937,144120,31763,151426,112898,158318,52926,145310,90047
159520,59726,151329,142989,140990,100102,144098,32124,151388,114363,158295,51591,145258,91004
159522,61074,151331,144098,141027,101285,144081,32451,151399,115833,158260,50314,145209,91967
159448,62494,151330,145181,141098,102456,144077,32763,151412,117100,158281,49083,145178,92875
159417,63869,151324,146288,141125,103569,144081,33174,151508,118104,158312,47860,145165,93808
159326,65247,151366,147349,141137,104692,144054,33579,151551,119075,158301,46728,145170,94715
159220,66696,151341,148318,141144,105821,144016,34345,151627,119987,158284,45673,145199,95607
159139,68091,151334,149261,141148,106921,143982,34877,151673,120892,158238,44729,145235,96510
159082,69486,151338,150124,141159,107997,143970,35417,151721,121754,158222,43818,145264,97388
158983,70847,151331,150949,141141,109095,143951,35994,151792,122776,158216,42994,145288,98300
158913,72247,151338,151699,141157,110209,143921,36625,151815,123702,158209,42227,145303,99240
158863,73639,151337,152375,141181,111298,143909,37228,151821,124684,158201,41597,145298,100210
158841,74972,151334,153003,141176,112351,143881,37748,151822,125688,158161,41025,145295,101177
158820,76317,151345,153652,141186,113406,143883,38434,151859,126652,158118,40490,145292,102115
158809,77583,151330,154219,141292,114501,143860,39275,151879,127610,158071,40053,145298,103064
158815,78865,151324,154688,141192,115605,143780,40171,151919,128535,158040,39685,145289,103963
158849,80026,151312,155119,141225,116663,143735,41084,151938,129432,158002,39334,145317,104831
158846,81272,151310,155508,141250,117724,143698,42061,151976,130384,157986,39101,145368,105722
158866,82497,151304,155782,141267,118758,143668,43353,151938,131379,157953,38981,145381,106607
158879,83719,151439,156001,141288,119759,143644,44265,151840,132408,157911,38889,145377,107516
158888,84901,151447,156102,141311,120808,143631,45393,151703,133451,157886,38867,145371,108444
158909,86084,151461,156210,141336,121841,143623,46494,151578,134491,157859,39032,145347,109346
158937,87265,151473,156311,141356,122809,143656,47713,151414,135457,157846,39134,145335,110242
158977,88454,151519,156356,141338,123759,143631,49054,151229,136273,157808,39324,145337,111145
159045,89645,151548,156329,141341,124705,143611,50386,151147,137214,157792,39538,145331,112029
159104,90877,151455,156246,141355,125707,143584,51728,151078,138141,157764,39844,145335,112890
159158,92164,151453,156112,141326,126643,143558,53054,151012,139049,157744,40268,145349,113787
159196,93342,151562,155931,141292,127562,143550,54414,151001,139877,157741,40730,145389,114689
159271,94566,151567,155686,141283,128447,143542,55806,150993,140671,157726,41272,145388,115579
159303,95772,151582,155373,141262,129318,143546,57268,151013,141386,157726,41871,145411,116491
159343,96971,151591,154996,141197,130168,143545,58703,150926,142372,157726,42537,145431,117354
159409,98211,151602,154611,141158,131000,143550,60115,150923,142950,157702,43280,145439,118221
159505,99452,151593,154161,141162,131727,143547,61581,150885,143484,157674,44108,145454,119030
159568,100714,151616,153663,141120,132450,143508,63062,150783,143987,157648,45014,145460,119818
159584,101976,151496,153153,141060,133099,143515,64554,150714,144333,157622,46014,145454,120632
159672,103246,151492,152621,141034,133773,143509,66084,150657,144382,157603,47060,145444,121474
159798,104551,151479,152014,140987,134294,143508,67631,150579,144838,157567,48227,145436,122309
159846,105839,151467,151363,140933,134858,143538,69178,150528,145123,157542,49370,145414,123164
159851,107141,151457,150662,140909,135327,143519,70649,150451,145338,157527,50627,145397,123961
159921,108462,151450,149918,140840,135789,143493,72276,150390,145669,157527,51956,145383,124779
159977,109823,151429,149159,140751,136200,143471,73795,150352,145620,157500,53273,145373,125579
160020,111193,151413,148403,140706,136667,143452,75351,150286,145658,157501,54700,145358,126333
160045,112569,151412,147638,140611,137049,143438,76883,150246,145638,157496,56217,145352,127056
160052,113975,151400,146849,140525,137412,143421,78339,150226,145593,157510,57685,145347,127806
160057,115331,151334,146026,140454,137772,143411,79855,150213,145462,157530,59204,145355,128567
160064,116680,151329,145230,140360,137905,143406,81287,150244,145304,157532,60769,145372,129327
160071,118039,151328,144382,140256,138122,143390,82841,150282,145118,157557,62277,145391,130073
160097,119413,151328,143482,140146,138338,143393,84218,150310,144930,157560,63806,145393,130791
160122,120890,151331,142568,140055,138572,143388,85680,150345,144738,157552,65298,145396,131435
160116,122331,151328,141611,139961,138717,143391,87114,150398,144575,157580,66760,145367,132127
160148,123789,151325,140680,139845,138871,143380,88611,150442,144344,157596,68045,145328,132828
160156,125190,151334,139660,139744,139038,143384,90063,150470,143875,157591,69480,145310,133572
160184,126636,151325,138589,139635,139170,143382,91517,150489,143610,157603,70938,145299,134299
160176,128071,151359,137554,139558,139322,143367,92977,150512,143325,157565,72495,145291,135047
160212,129507,151389,136495,139464,139493,143349,94388,150530,143023,157546,73919,145293,135768
160222,130947,151436,135479,139365,139615,143333,95822,150506,142710,157566,75298,145294,136484
160230,132327,151439,134272,139274,139733,143319,97237,150521,142439,157585,76673,145307,137172
160242,133660,151416,133181,139195,139873,143311,98699,150595,142183,157564,78050,145317,137881
160262,134964,151412,132082,139133,139965,143309,100145,150678,142225,157598,79420,145330,138534
160258,136190,151442,131020,139069,140094,143327,101582,150796,142135,157663,80750,145338,139201
160271,137392,151454,129677,138998,140238,143331,103149,150866,141950,157713,82043,145341,139882
160305,138480,151478,128494,138934,140342,143366,104516,150956,141888,157775,83314,145345,140553
160277,139515,151522,127253,138879,140428,143352,105873,151088,141781,157810,84566,145350,141234
160269,140655,151550,125967,138811,140504,143343,107427,151201,141761,157884,85737,145344,141899
160224,141745,151567,124782,138805,140588,143341,108917,151277,141681,157931,86985,145323,142565
160212,142760,151577,123473,138757,140678,143326,110418,151307,141765,157999,88179,145306,143274
160191,143815,151622,122186,138721,140745,143327,111927,151345,141755,158075,89342,145290,143994
160191,144855,151658,120797,138720,140796,143338,113411,151366,141713,158130,90570,145286,144725
160167,145752,151707,119552,138709,140838,143354,114838,151355,141525,158167,91764,145318,145474
160163,146589,151738,118208,138711,140896,143379,116281,151385,141298,158214,93116,145342,146172
160179,147378,151754,116856,138735,140933,143394,117726,151422,140957,158272,94355,145371,146797
160164,148190,151788,115440,138748,140966,143414,119158,151539,140568,158333,95642,145394,147562
160193,148834,151859,113995,138751,141044,143416,120607,151587,140225,158437,96870,145408,148232
160231,149645,151860,112597,138785,141023,143434,122001,151635,139845,158481,98063,145407,148870
160258,150522,151870,111130,138830,141051,143443,123459,151726,139436,158516,99273,145383,149409
160252,151369,151808,109702,138858,141211,143447,124967,151788,138900,158544,100504,145347,150065
160288,152237,151796,108248,138891,141128,143451,126473,151931,138300,158600,101633,145300,150744
160331,153082,151794,106789,138941,141101,143454,127969,152034,137595,158633,102866,145245,151409
160374,153838,151769,105251,138987,141039,143470,129413,152185,136915,158665,104173,145194,152105
160412,154531,151765,103803,139015,140943,143485,130884,152258,136302,158679,105088,145171,152877
160440,155172,151768,102251,139059,140799,143507,132284,152337,135736,158680,106214,145168,153650
160455,155726,151756,100733,139108,140634,143520,133649,152376,135056,158645,107379,145182,154472
160484,156223,151749,99205,139145,140409,143555,134991,152416,134298,158606,108499,145214,155214
160519,156682,151733,97701,139224,140170,143548,136230,152456,133288,158554,109564,145280,156029
160553,157085,151736,96141,139279,139815,143555,137404,152505,132119,158507,110722,145350,156749
160569,157513,151735,94606,139327,139562,143557,138484,152532,130873,158543,111737,145406,157385
160581,157869,151748,93017,139365,139171,143575,139487,152509,129665,158500,112642,145450,157992
160613,158159,151758,91451,139438,138770,143568,140419,152427,128438,158447,113546,145469,158461
160626,158486,151752,89876,139466,138324,143574,141224,152257,127050,158406,114439,145442,159053
160623,158773,151737,88309,139510,137836,143564,142008,152137,125644,158362,115280,145390,159669
160607,159018,151716,86758,139533,137160,143534,142663,152014,124017,158317,116103,145313,160191
160605,159296,151722,85166,139565,136536,143517,143243,151980,122296,158281,116909,145228,160777
160632,159561,151718,83556,139576,135844,143514,143735,151962,120400,158235,117712,145145,161324
160665,159713,151701,81952,139572,135118,143515,144263,151965,118471,158198,118530,145073,161805
160641,159872,151724,80296,139563,134414,143532,144744,151964,116564,158181,119360,145026,162323
160642,160023,151738,78673,139579,133617,143539,145176,151896,114644,158167,120323,145020,162777
160643,160274,151769,77202,139552,132653,143526,145481,151818,112655,158165,121073,145025,163219
160635,160442,151782,75629,139525,131689,143507,145766,151736,110543,158172,121783,145054,163615
160637,160620,151791,74136,139490,130673,143496,145969,151681,108245,158193,122618,145082,163980
160626,160760,151779,72635,139468,129514,143462,146136,151676,105972,158219,123304,145113,164302
160610,160899,151769,71161,139473,128298,143434,146191,151697,103686,158222,124038,145139,164594
160612,160958,151755,69652,139454,126856,143411,146236,151709,101385,158219,124746,145158,164873
160634,160979,151750,68127,139525,125601,143420,146176,151715,99670,158199,125444,145158,165073
160642,160997,151745,66684,139455,124062,143426,146162,151712,97255,158170,126130,145164,165391
160649,161029,151762,65202,139445,122552,143428,146041,151709,94475,158127,126780,145170,165664
160629,161054,151764,63770,139452,120931,143392,146001,151745,92116,158064,127526,145156,165858
160625,161123,151762,62299,139463,119302,143389,145889,151816,89567,158012,128141,145189,166063
160594,161178,151786,60952,139587,117621,143350,145789,151859,86946,157842,128724,145220,166256
160562,161281,151802,59562,139573,115896,143327,145709,151941,84286,157785,129248,145251,166430
160525,161390,151807,58150,139502,114148,143290,145594,152023,81644,157750,129720,145283,166603
160505,161528,151806,56867,139530,112379,143265,145449,152059,79154,157671,130185,145277,166753
160471,161592,151782,55480,139552,110592,143271,145309,152021,76752,157620,130607,145275,166970
160460,161642,151759,53950,139569,108744,143286,145124,151969,74302,157568,131016,145275,167176
160433,161648,151745,52539,139615,106896,143311,144941,151918,71847,157518,131437,145278,167320
160428,161635,151733,51159,139653,105044,143329,144717,151861,69520,157448,131803,145284,167503
160423,161569,151709,50146,139712,103260,143341,144513,151868,67399,157399,132127,145281,167633
160420,161517,151705,48827,139774,101401,143347,144255,151890,65168,157375,132372,145279,167760
160441,161499,151692,47581,139876,99481,143349,143997,151920,62942,157324,132571,145304,167865
160434,161448,151711,46210,139983,97655,143360,143604,151993,60800,157296,132685,145319,167932
160426,161340,151749,45157,140065,95803,143377,143366,152088,58756,157283,132732,145284,168031
160438,161241,151799,44170,140229,93992,143384,142950,152122,56752,157260,132751,145258,168090
160433,161034,151837,43308,140383,92164,143382,142482,152122,54846,157242,132722,145235,168112
160411,160790,151850,42451,140524,90333,143380,142068,152091,53010,157200,132665,145210,168034
160374,160488,151847,41607,140664,88521,143390,141519,152065,51179,157178,132550,145201,167942
160364,160146,151833,40782,140843,86729,143404,140991,152065,49450,157170,132374,145177,167826
160346,159735,151822,40114,140986,84982,143422,140371,152040,47722,157170,132205,145159,167689
160332,159397,151810,39515,141093,83195,143440,139690,152002,46104,157173,132016,145142,167513
160318,159046,151795,39016,141221,81449,143467,138974,151959,44530,157188,131820,145142,167263
160299,158728,151802,38650,141313,79701,143493,138242,151954,43045,157221,131618,145150,166973
160291,158294,151847,38364,141387,77852,143522,137443,151965,41617,157252,131283,145169,166692
160282,157813,151884,38154,141408,76137,143526,136586,151926,40287,157282,130994,145194,166331
160279,157252,151908,37976,141458,74420,143506,135629,151879,39040,157309,130706,145224,165891
160274,156718,151964,37914,141505,72751,143498,134715,151808,37870,157348,130609,145252,165437
160287,156088,151980,37882,141549,71076,143518,133727,151776,36789,157387,130344,145267,164911
160309,155410,151990,37897,141525,69499,143533,132713,151775,35850,157440,130111,145284,164257
160334,154726,151986,38029,141527,67934,143541,131675,151779,35002,157489,129902,145291,163518
160351,153957,151949,38151,141515,66298,143547,130609,151797,34240,157525,129610,145291,162730
160363,153094,151893,38365,141485,64698,143552,129548,151847,33633,157577,129357,145294,161841
160372,152173,151828,38578,141458,63152,143547,128467,151893,33144,157662,128961,145278,160854
160373,151240,151783,38837,141393,61482,143555,127351,151939,32773,157741,128684,145237,159740
160360,150328,151705,39121,141336,59990,143554,126206,151978,32532,157824,128405,145154,158681
160322,149512,151662,39443,141267,58447,143538,125042,152023,32482,157910,128022,145121,157541
160286,148553,151628,39781,141202,56809,143532,123880,152073,32502,158075,127612,145102,156369
160248,147524,151626,40201,141151,55310,143527,122657,152113,32635,158149,127164,145092,155119
160225,146461,151630,40614,141076,53800,143529,121382,152123,32856,158235,126597,145081,153728
160208,145371,151646,41041,141011,52272,143532,120038,152104,33185,158294,125985,145081,152157
160199,144244,151663,41546,140948,50800,143539,118690,152077,33624,158353,125469,145096,150575
160239,143093,151672,41964,140911,49321,143552,117298,152055,34077,158428,124910,145139,148899
160288,141952,151675,42435,140881,47880,143567,115859,152033,34627,158480,124331,145180,147160
160331,140726,151662,42923,140836,46404,143573,114349,152015,35315,158499,123550,145219,145330
160367,139440,151660,43486,140821,44885,143578,112819,152032,36133,158546,122904,145256,143433
160372,138107,151641,44075,140796,43460,143586,111205,152037,36921,158558,122245,145285,141445
160382,136638,151622,44696,140773,42086,143595,109590,152028,37848,158573,121431,145308,139378
160391,135152,151608,45350,140750,40745,143606,107935,152033,38928,158544,120592,145324,137230
160364,133580,151591,46023,140734,39457,143608,106279,152044,40118,158547,119726,145398,135103
160348,132023,151560,46799,140714,38210,143600,104593,152066,41378,158582,118785,145402,132871
160340,130407,151538,47668,140711,37013,143597,102840,152101,42716,158556,117909,145422,130743
160329,128726,151521,48739,140693,35850,143586,101076,152132,44162,158567,116911,145451,128464
160284,127064,151532,49684,140651,34827,143568,99296,152150,45705,158564,115958,145419,126216
160236,125418,151571,50782,140595,33868,143546,97407,152140,47329,158489,114969,145409,123922
160215,123745,151609,51920,140525,32938,143540,95640,152163,49084,158474,113875,145391,121561
160180,122044,151651,53100,140508,32097,143537,94043,152213,50833,158456,112792,145386,119279
160148,120432,151709,54321,140478,31333,143522,92333,152272,52758,158413,111664,145359,116887
160141,118796,151764,55793,140391,30654,143529,90620,152293,54743,158388,110336,145353,114560
160163,117088,151809,57110,140316,30092,143540,89027,152314,56878,158351,108838,145337,112259
160177,115407,151828,58222,140243,29620,143548,87361,152311,59004,158331,107402,145349,109912
160185,113765,151829,59574,140215,29294,143563,85713,152338,61283,158279,105809,145356,107587
160184,112154,151825,61068,140160,29073,143559,84091,152380,63660,158225,104280,145345,105224
160165,110554,151813,62489,140086,28950,143556,82485,152398,66097,158146,102700,145353,102896
160179,109032,151801,63955,140048,28955,143556,80916,152401,68594,158070,101182,145370,100543
160188,107540,151811,65449,140020,29041,143546,79370,152352,71130,157990,99715,145399,98222
160217,106059,151835,66986,139976,29259,143551,77869,152348,73717,157933,98217,145397,95875
160231,104633,151857,68456,139922,29572,143543,76356,152350,76309,157884,96586,145414,93557
160229,103218,151893,69970,139884,29965,143571,74906,152359,79000,157824,94838,145407,91246
160216,101750,151943,71438,139863,30483,143551,73469,152341,81682,157770,93180,145407,89023
160205,100287,151977,72832,139859,31076,143545,72129,152358,84137,157735,91420,145403,86882
160163,98823,151981,74260,139832,31757,143510,70682,152384,86742,157728,89734,145393,84742
160158,97363,151978,75673,139723,32512,143487,69270,152405,89195,157705,88031,145381,82596
160143,95947,151958,77094,139691,33348,143497,67888,152395,91673,157708,86305,145384,80485
160109,94322,151935,78469,139671,34329,143478,66582,152406,93860,157696,84570,145401,78390
160074,92848,151899,79832,139627,35315,143459,65277,152375,96133,157714,82786,145451,76314
