P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
154000,161139,147289,170716,142462,146842,142630,156571,162808,148576,152531,162896,151105,158064
153997,161147,147315,170696,142439,146914,142639,156604,162902,148380,152540,162906,151102,158049
154007,161137,147347,170681,142494,146993,142655,156619,162974,148117,152539,162934,151099,158050
154004,161154,147384,170653,142473,147060,142660,156610,163021,147627,152520,162978,151094,158052
154012,161139,147412,170645,142463,147113,142657,156634,163044,146863,152497,163073,151080,158053
154006,161143,147460,170641,142451,147148,142661,156640,163073,145910,152470,163256,151066,158053
154009,161128,147508,170626,142452,147233,142655,156637,163111,145021,152444,163433,151058,158059
154015,161133,147565,170627,142440,147311,142642,156612,163168,144079,152412,163668,151070,158051
154019,161151,147592,170630,142435,147337,142639,156599,163332,143071,152378,163744,151081,158056
154030,161164,147605,170635,142421,147376,142625,156574,163408,142039,152367,163688,151095,158057
154037,161172,147631,170647,142354,147460,142615,156553,163533,141003,152354,163741,151125,158060
154049,161169,147664,170625,142358,147589,142618,156539,163740,139922,152342,163784,151152,158046
154062,161183,147682,170635,142342,147621,142606,156541,163960,138894,152335,163854,151171,158050
154068,161171,147689,170637,142335,147650,142612,156540,164186,137939,152334,163950,151170,158046
154079,161173,147672,170637,142338,147701,142617,156552,164438,136944,152340,164064,151179,158038
154079,161173,147637,170646,142341,147772,142615,156559,164696,135597,152351,164185,151178,158039
154082,161169,147601,170645,142352,147843,142634,156552,164977,134610,152361,164301,151171,158028
154089,161175,147582,170640,142354,147843,142642,156558,165234,133668,152376,164437,151166,158021
154085,161181,147566,170615,142372,147889,142633,156567,165439,132867,152376,164527,151154,158000
154079,161172,147571,170586,142387,147943,142631,156556,165604,131975,152392,164641,151146,158005
154079,161191,147564,170560,142404,147960,142623,156557,165919,131244,152414,164735,151139,157997
154086,161200,147565,170533,142409,148000,142615,156545,166141,130506,152419,164848,151130,158008
154094,161206,147537,170533,142420,147989,142601,156551,166380,130190,152431,164908,151114,158013
154103,161214,147525,170489,142418,148027,142587,156553,166594,129695,152437,164987,151105,158010
154117,161201,147501,170445,142427,148052,142588,156540,166804,129223,152449,165000,151090,158036
154133,161205,147476,170427,142438,148085,142583,156531,167046,128806,152450,165030,151080,158035
154145,161214,147466,170381,142452,148139,142576,156527,167333,128476,152448,165136,151065,158051
154151,161214,147442,170331,142470,148154,142579,156519,167690,128274,152482,165322,151056,158048
154164,161232,147423,170263,142496,148152,142579,156507,168073,128173,152476,165436,151060,158035
154169,161242,147391,170144,142507,148169,142654,156502,168408,128234,152448,165498,151061,158027
154185,161264,147359,170027,142525,148188,142574,156484,168707,128413,152427,165521,151071,158026
154194,161277,147325,169888,142537,148205,142582,156499,168945,128808,152402,165589,151075,158011
154203,161276,147308,169797,142562,148218,142578,156490,169140,129401,152376,165633,151087,158012
154197,161267,147290,169677,142579,148232,142578,156483,169264,130162,152361,165678,151097,158018
154195,161275,147275,169595,142600,148245,142579,156491,169334,131076,152335,165591,151103,158019
154197,161281,147252,169545,142607,148264,142560,156489,169398,131991,152299,165485,151112,158026
154189,161282,147204,169530,142624,148278,142558,156501,169291,133083,152266,165375,151101,158022
154184,161283,147163,169539,142633,148287,142543,156494,169110,134166,152243,165196,151110,158009
154170,161257,146804,169616,142645,148288,142529,156497,168732,135207,152223,164905,151124,158010
154170,161262,146791,169649,142637,148288,142525,156508,168493,136369,152211,164597,151140,158004
154154,161258,146787,169676,142626,148282,142515,156515,168232,137507,152223,164372,151155,158011
154155,161282,146804,169699,142626,148266,142504,156520,167974,138696,152225,164039,151161,158026
154137,161271,146809,169691,142615,148251,142491,156516,167906,140064,152231,163652,151186,158036
154121,161264,146800,169724,142600,148245,142477,156513,167665,141258,152228,163166,151204,158041
154116,161271,146800,169675,142585,148219,142462,156510,167351,142157,152231,162588,151226,158034
154110,161262,146810,169619,142558,148186,142457,156477,167038,142972,152245,161999,151231,158041
154096,161256,146868,169538,142533,148156,142446,156477,166715,143629,152260,161390,151242,158041
154090,161250,146841,169430,142516,148124,142425,156473,166475,144050,152286,160680,151256,158056
154069,161253,146821,169347,142500,148135,142427,156473,166139,144293,152290,160071,151281,158089
154061,161243,146753,169252,142483,148116,142502,156471,165607,144257,152312,159349,151284,158112
154054,161256,146700,169137,142464,148116,142484,156483,165218,144064,152355,158664,151304,158110
154030,161252,146687,169017,142460,148107,142466,156484,164905,143932,152415,158022,151309,158109
154010,161243,146666,168883,142455,148099,142388,156477,164549,143787,152450,157413,151323,158115
154003,161232,146638,168738,142459,148043,142457,156453,164286,143630,152455,156749,151337,158116
153988,161196,146610,168565,142452,147977,142449,156438,163717,143545,152461,156176,151349,158101
153962,161080,146574,168420,142430,147944,142436,156421,163381,143466,152469,155536,151358,158087
153965,161076,146575,168293,142425,147910,142439,156369,163021,143578,152515,154968,151378,158071
153959,161060,146567,168119,142417,147890,142446,156307,162675,143756,152558,154463,151383,158066
153950,161174,146565,167979,142411,147882,142450,156181,162230,144017,152543,154046,151396,158064
153941,161045,146554,167824,142409,147830,142443,156054,161885,144112,152574,153639,151406,158069
153948,161166,146557,167691,142405,147754,142352,155920,161360,144200,152597,153294,151417,158084
153948,161044,146586,167541,142413,147694,142354,155776,160866,144081,152601,152983,151412,158107
153940,161183,146655,167433,142404,147683,142420,155616,160306,144025,152623,152742,151421,158122
153952,161187,146716,167351,142418,147633,142414,155479,159824,144042,152625,152538,151438,158140
153961,161080,146760,167265,142405,147589,142404,155308,159242,144098,152632,152200,151458,158155
153963,161186,146821,167206,142403,147520,142387,155169,158936,144242,152619,151964,151488,158148
153971,161186,146890,167185,142399,147429,142379,155007,158366,144299,152583,151757,151507,158155
153968,161188,146962,167180,142401,147371,142372,154855,157818,144305,152548,151655,151507,158165
153971,161183,147018,167176,142395,147314,142370,154663,157269,144389,152492,151417,151513,158111
153968,161054,147094,167159,142396,147277,142358,154459,156811,144544,152444,151303,151511,158115
153953,161155,147145,167142,142385,147220,142341,154210,156224,144729,152382,151094,151524,158145
153949,161153,147214,167112,142399,147172,142321,153870,155686,144669,152328,150848,151513,158094
153942,161151,147266,166968,142389,147100,142315,153488,155029,144806,152274,150580,151523,158047
153932,161137,147275,166978,142393,147035,142327,153066,154717,144834,152210,150315,151513,157979
153924,161139,147254,166961,142403,146989,142332,152659,154500,144914,152167,150064,151492,157905
153927,161110,147229,166958,142408,146927,142340,152211,154237,144863,152121,149815,151486,157813
153916,161123,147181,166940,142424,146919,142339,151716,153813,144872,152098,149565,151474,157729
153935,161124,147158,167055,142427,146897,142311,151160,153463,144694,152089,149331,151470,157619
153927,161134,147105,166943,142434,146826,142276,150652,153165,144399,152117,149081,151468,157533
153927,161140,147014,166809,142441,146794,142251,150158,152848,144276,152145,148863,151492,157453
153929,161158,146901,166605,142443,146755,142219,149644,152567,144288,152200,148671,151512,157335
153924,161157,146823,166175,142451,146695,142199,149143,152314,144409,152254,148527,151524,157198
153933,161170,146729,165856,142469,146675,142167,148716,152166,144631,152323,148387,151558,157082
153937,161172,146646,165545,142476,146662,142137,148246,151923,144741,152388,147840,151573,156956
