Angle
161865
161861
161870
160771
160772
160757
160765
160658
160622
160611
160684
160692
160719
160734
160742
160727
160718
160842
160850
160846
160860
160850
160854
160870
160870
160884
160886
160872
160883
160913
160910
160924
160935
160942
160933
160936
160815
160803
160922
160915
160920
160814
160920
160815
160914
160802
160922
160804
160932
160942
160955
160969
160988
160990
160985
160984
160962
160977
160985
161002
161012
161022
161026
161021
161013
161004
161001
161008
161021
161024
161047
161069
161087
161126
161139
161147
161137
161154
161139
161143
161128
161133
161151
161164
161172
161169
161183
161171
161173
161173
161169
161175
161181
161172
161191
161200
161206
161214
161201
161205
161214
161214
161232
161242
161264
161277
161276
161267
161275
161281
161282
161283
161257
161262
161258
161282
161271
161264
161271
161262
161256
161250
161253
161243
161256
161252
161243
161232
161196
161080
161076
161060
161174
161045
161166
161044
161183
161187
161080
161186
161186
161188
161183
161054
161155
161153
161151
161137
161139
161110
161123
161124
161134
161140
161158
161157
161170
161172
161173
161176
161174
161175
161174
161169
161180
161193
161190
161175
161170
161151
161158
161164
161146
161142
161137
161131
161125
161123
161129
161136
161131
161139
161147
161129
161136
161124
161124
161128
161125
161110
161108
161111
161104
161103
161096
161100
161101
161099
161099
161076
161078
161077
161073
161067
161069
161045
161050
161060
161062
161074
161081
161089
161104
161101
161103
161090
161088
161093
161102
161112
161112
161116
161118
161115
161115
161112
161128
161119
161137
161147
161152
161128
161115
161101
161094
161084
161077
161070
161049
161045
161042
161049
161048
161054
161048
161030
161036
161046
161043
161025
161002
160982
160917
160842
160787
160708
160673
160644
160636
160646
160664
160698
160771
160822
160858
160902
160908
160922
160912
160883
160850
160822
160807
160804
160816
160829
160844
160864
160878
160882
160881
160854
160820
160767
160703
160619
160526
160410
160289
160208
160176
160164
160170
160188
160243
160287
160331
160347
160365
160371
160346
160331
160301
160303
160281
160297
160304
160350
160390
160418
160434
160433
160391
160365
160320
160301
160284
160289
160326
160373
160458
160545
160601
160696
160763
160800
160809
160820
160764
160718
160680
160663
160638
160639
160654
160665
160700
160738
160765
160777
160797
160804
160803
160806
160785
160782
160765
160777
160774
160762
160771
160769
160779
160772
160784
160808
160819
160829
160823
160828
160831
160821
160825
160822
160818
160824
160840
160850
160858
160848
160845
160864
160852
160848
160833
160811
160790
160787
160802
160810
160818
160809
160803
160800
160798
160789
160782
160780
160776
160764
160765
160763
160724
160719
160717
160698
160699
160712
160718
160719
160712
160697
160690
160679
160680
160667
160661
160661
160686
160673
160673
160679
160693
160683
160697
160705
160701
160702
160718
160703
160704
160719
160751
160760
160770
160755
160733
160695
160657
160593
160547
160523
160514
160516
160510
160521
160536
160556
160579
160582
160576
160570
160583
160593
160617
160632
160669
160687
160722
160766
160708
160741
160797
160854
160929
161007
161061
161104
161092
161064
161022
160982
160967
160984
161012
161071
161099
161072
161120
160998
160816
160631
160444
160273
160091
159906
159620
159301
158963
158612
158238
157788
157332
156811
156301
155773
155208
154580
153906
153148
152300
151350
150388
149375
148243
146886
145657
144360
142947
141521
140012
138501
137008
135578
133851
132196
130646
128987
127306
125596
123866
122143
120331
118547
116755
115009
113273
111552
109873
108179
106474
104816
103218
101627
100094
98590
97062
95546
94039
92526
91031
89525
88045
86464
84935
83434
82003
80505
79029
77619
76162
74787
73356
71894
70403
68883
67264
65772
64256
62759
61354
60105
58777
57510
56316
55188
54137
53134
52175
51327
50486
49662
48974
48371
47752
47263
46952
46684
46541
46475
46485
46563
46743
46971
47233
47589
47943
48395
48946
49561
50356
51173
52095
53147
