angle_lam_final
153731
153763
153771
153885
153896
153896
153900
153877
153907
153909
153909
153894
153883
153875
153867
153858
153840
153827
153819
153816
153810
153822
153828
153844
153861
153879
153882
153899
153903
153919
153915
153911
153908
153917
153898
153897
153882
153897
153888
153884
153882
153884
153870
153860
153843
153825
153822
153817
153824
153843
153860
153885
153910
153929
153955
153979
153979
153991
153988
153992
153984
153981
153976
153967
153958
153964
153965
153968
153973
153980
153984
153988
153991
154002
154000
153997
154007
154004
154012
154006
154009
154015
154019
154030
154037
154049
154062
154068
154079
154079
154082
154089
154085
154079
154079
154086
154094
154103
154117
154133
154145
154151
154164
154169
154185
154194
154203
154197
154195
154197
154189
154184
154170
154170
154154
154155
154137
154121
154116
154110
154096
154090
154069
154061
154054
154030
154010
154003
153988
153962
153965
153959
153950
153941
153948
153948
153940
153952
153961
153963
153971
153968
153971
153968
153953
153949
153942
153932
153924
153927
153916
153935
153927
153927
153929
153924
153933
153937
153954
153961
153963
153970
153981
153989
153989
153994
153995
153992
153977
153963
153968
153953
153957
153959
153965
153960
153968
153971
153979
153978
153989
153987
153995
154008
153998
154003
154000
154002
153999
153994
153996
153996
153981
153971
153971
153961
153967
153968
153982
153992
154010
154021
154025
154043
154043
154049
154039
154035
154024
154012
154001
153987
153976
153987
153984
153984
153998
153998
154009
154005
154007
154017
154015
154009
153998
153995
153998
153998
153985
154004
153989
153995
153996
154007
154019
154045
154055
154059
154069
154060
154040
154026
154006
153984
153967
153957
153958
153967
153969
153970
153965
153955
153928
153910
153886
153861
153846
153828
153817
153817
153840
153873
153925
153968
154011
154050
154077
154113
154110
154116
154100
154085
154079
154066
154067
154072
154073
154072
154088
154105
154113
154084
154031
153985
153877
153770
153621
153449
153311
153209
153127
153106
153105
153170
153274
153419
153575
153745
153924
154075
154167
154244
154297
154310
154319
154297
154307
154316
154302
154300
154285
154255
154208
154161
154110
154037
153979
153917
153883
153856
153851
153874
153914
153952
153968
153965
153946
153924
153868
153812
153755
153693
153633
153578
153533
153497
153480
153463
153472
153502
153541
153598
153640
153656
153654
153647
153634
153618
153603
153595
153587
153591
153606
153613
153626
153655
153698
153755
153806
153829
153854
153868
153882
153892
153897
153899
153890
153894
153891
153886
153877
153866
153857
153854
153851
153840
153831
153817
153796
153786
153776
153774
153764
153749
153749
153743
153729
153716
153709
153689
153691
153691
