left_elbow_Ldist_traveled
0
303
571
1270
1556
1801
1801
2276
2621
2855
3069
3069
3458
3458
3818
3818
4151
4151
4479
4479
4815
4815
5173
5173
5520
5520
5810
5810
6061
6061
6299
6299
6299
6608
6608
6608
6608
6855
6855
6855
6855
6855
7077
7077
7077
7077
7077
7077
7077
7326
7326
7326
7529
7529
7529
7740
7740
7740
7740
7972
7972
7972
8198
8198
8399
8399
8399
8640
8640
8640
8903
8903
8903
9190
9190
9414
9414
9617
9617
9836
9836
10046
10046
10251
10251
10479
10479
10729
10729
10959
10959
11215
11215
11498
11498
11708
11708
11708
11983
11983
11983
12233
12233
12233
12441
12441
12441
12642
12642
12642
12642
12889
12889
12889
12889
12889
13120
13120
13120
13120
13120
13120
13120
13343
13343
13343
13343
13343
13343
13562
13562
13562
13786
13786
13786
13786
14030
14030
14030
14310
14310
14517
14517
14766
14766
15065
15065
15363
15363
15664
15664
15911
15911
16166
16166
16424
16424
16698
16698
16963
16963
17293
17293
17554
17554
17794
17794
18031
18031
18289
18289
18289
18520
18520
18520
18753
18753
18753
18964
18964
18964
18964
19200
19200
19200
19417
19417
19417
19626
19626
19626
19844
19844
19844
20111
20111
20315
20315
20574
20574
20814
20814
21058
21058
21058
21331
21331
21331
21331
21565
21565
21565
21565
21565
21790
21790
21790
21790
21790
21790
21993
21993
21993
21993
21993
22216
22216
22216
22216
22450
22450
22450
22651
22651
22651
22900
22900
22900
23147
23147
23363
23363
23363
23630
23630
23630
23840
23840
23840
24117
24117
24456
24665
24885
25125
25367
25582
25785
26012
26012
26326
26326
26595
26595
26836
26836
27134
27134
27506
27719
27967
28204
28438
28694
28927
28927
29312
29312
29654
29654
29959
30203
30448
30747
31173
31633
32192
32790
33288
33694
33998
33998
34203
34203
34557
34903
35326
35784
36300
36738
37116
37491
37821
38123
38440
38714
38993
39288
39533
39781
39781
40123
40123
40337
40337
40337
40616
40616
40891
41118
41370
41732
42097
42446
42766
43080
43377
43631
43857
44108
44330
44547
44757
44971
45188
45394
45618
45825
46076
46351
46616
46898
47129
47129
47427
47427
47632
47632
47632
47861
47861
47861
48116
48116
48116
48386
48386
48607
48607
48607
48817
48817
48817
48817
48817
48817
48817
48817
48817
48817
49058
49058
49058
49058
49058
49058
49277
49277
49277
49277
49277
49277
49512
49512
49512
49731
49731
49731
49971
49971
49971
49971
50239
50239
50239
50239
50494
50494
50494
50731
50731
50731
50731
50989
50989
50989
51222
51222
51222
51460
51460
51460
51671
51671
51671
51872
51872
52074
52074
52310
52310
52534
52534
52798
52798
53060
53060
53273
53273
53273
53517
53517
53517
53517
53727
53727
53727
53727
54009
54009
54236
54236
54494
54494
54799
54799
55175
55175
55575
55787
56010
56010
56387
56387
56710
56710
57051
57051
57434
57639
57639
58042
58042
58392
58392
58689
58689
58911
58911
58911
58911
59120
59120
59120
59435
59435
59735
59735
60147
60353
60606
60905
61249
61549
61829
62121
62484
62840
63228
63565
63900
64252
64551
64820
65130
65382
65621
65885
66118
66404
66671
66978
67324
67616
67972
68344
68731
69042
69340
69678
70034
70370
70681
70979
71302
71619
71971
72378
72816
73251
73694
74131
74537
74912
75289
75678
76109
76533
76992
77413
77851
78300
78805
79356
79898
80453
80973
81504
82053
82672
83263
83877
84471
85050
85661
86250
86890
87522
88161
88765
89387
90013
90587
91063
91556
92022
92466
92812
93201
93515
93797
94078
94326
94571
94844
95063
95327
95327
95746
95985
96191
96191
96541
96787
97012
97012
97384
97585
97585
97974
98220
98507
98852
99299
99777
100360
101002
101685
102389
103067
103832
104657
105479
106345
107134
107991
108794
109643
110356
111155
111940
112689
113294
113863
114505
115055
115542
116026
116466
116858
117212
117560
117912
118224
118577
118923
119294
119666
120016
120435
120878
121312
121852
122289
122795
123272
123726
124292
124811
125335
125844
126408
127004
127527
128039
128524
129079
129588
130057
130478
130944
131376
131805
132181
132512
132828
133143
133437
133734
133996
134293
134589
134879
135093
135093
135412
135412
